No.,State,District,Date,Flood Cause,Main River Basin,latitude,longitude,geocode_status
1,WP Labuan,Labuan,20/08/2025,"Air Laut Pasang, Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman",-,5.3109549,115.2244853,success
2,Sabah,Membakut,13/08/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Membakut (Jalan Balai Polis); Sungai Membakut (Kg. Bandau); Sungai Membakut (Kg. Baitam); Sungai Membakut (Pekan Lama Membakut); Sungai Membakut (Kg. Kayai),5.5264766,115.6966003,success
3,Sabah,Putatan,12/8/2025,"Air Laut Pasang, Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Monyog (PTTNTP0005 - Kg. Ketiau); Sungai Monyog (PTTNTP0002 - Kg. Potuki); Sungai Monyog (KG SAILAN),5.8914309,116.048492,success
4,WP Labuan,Labuan,9/8/2025,"Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman",-,5.3109549,115.2244853,success
5,Sarawak,Serian,8/8/2025,"Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Batang Sadong (Lorong Bunga Melor),1.167035,110.5665059,success
6,Johor,Batu Pahat,5/8/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",-,1.8545065,102.9464372,success
7,Johor,Batu Pahat,5/8/2025,"Hujan Lebat / Berterusan, Longkang Tersumbat, Pembangunan / Pembukaan Tanah / Sampah Sarap, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Batu Pahat (BTPHTP0005 - Parit Doby Jalan Kenangan); Sungai Batu Pahat (Jln Bahagia); Sungai Batu Pahat (Jln Pejabat); Sungai Batu Pahat (Tasik Y); Sungai Batu Pahat (Jln Talib Abu/ Kg Sateh),1.8545065,102.9464372,success
8,WP Labuan,Labuan,4/8/2025,"Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman",-,5.3109549,115.2244853,success
9,Pahang,Jerantut,4/8/2025,"Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman",Sungai Pahang (PAKR Bandar Baru Jerantut),3.937395,102.3620378,success
10,Sarawak,Sri Aman,4/8/2025,"Hujan Lebat / Berterusan, Pembangunan / Pembukaan Tanah / Sampah Sarap, Struktur / Lintasan Menghalang Laluan Air",-,1.237031,111.462079,success
11,Sarawak,Sri Aman,4/8/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan","Batang Lupar (Rh. Tiam, Kampung Sebemban Jampu, Pantu)",1.237031,111.462079,success
12,WP Labuan,Labuan,3/8/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Struktur / Lintasan Menghalang Laluan Air",-,5.3109549,115.2244853,success
13,Johor,Batu Pahat,30/06/2025,"Air Laut Pasang, Lain-lain",-,1.8545065,102.9464372,success
14,Sarawak,Samarahan,27/06/2025,"Hujan Lebat / Berterusan, Saliran Dalaman","Batang Samarahan (Lorong 21K3, 22, 29, 30 dan 4C)",1.4427573,110.4977108,success
15,Sarawak,Samarahan,27/06/2025,"Air Laut Pasang, Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Sarawak (KUAPTP0001 - Taman Uni Garden),1.4427573,110.4977108,success
16,Sarawak,Samarahan,27/06/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Sarawak (Muara Tuang Park & Kampung Bukit Berangan),1.4427573,110.4977108,success
17,Sarawak,Samarahan,27/06/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Sarawak (KUAPTP0010 - SK. Muara Tuang),1.4427573,110.4977108,success
18,Negeri Sembilan,Port Dickson,25/06/2025,"Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman",-,2.52254,101.7962932,success
19,Sarawak,Bintulu,19/06/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Struktur / Lintasan Menghalang Laluan Air",Batang Kemena (Rumah Roslind),3.1738542,113.0428485,success
20,Sabah,Kota Kinabalu,18/06/2025,"Air Laut Pasang, Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Inanam (MGKBTP0001 - Kg. Rampayan),5.9843644,116.077344,success
21,Sabah,Tuaran,18/06/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Tuaran (KLANTP0002 - Kg. Kauluan); Sungai Tuaran (Kg. Tambulaong),6.176269,116.23279,success
22,Kedah,Pendang,16/06/2025,"Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman",Sungai Kedah (kg sawa); Sungai Kedah (kampung baloh); Sungai Kedah (kg rtb mat inson),5.993039,100.4773388,success
23,Kedah,Kuala Muda,16/06/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Merbok (Jalan JKR 152 Sg. Lalang-Bukit Selambau); Sungai Merbok (Kg. Haji Safar),5.5862766,100.3743503,success
24,Pulau Pinang,Seberang Perai Tengah,16/06/2025,"Air Laut Pasang, Hujan Lebat / Berterusan",Sungai Juru (JURUTP0010 - Kg. Alma); Sungai Juru (JURUTP0013 - Kg. Kijang); Sungai Juru (JURUTP0012 - Taman Kota Permai),5.353468,100.4517935,success
25,Pulau Pinang,Barat Daya Pulau Pinang,16/06/2025,"Air Laut Pasang, Hujan Lebat / Berterusan",-,5.3519033,100.2358974,success
26,Kedah,Baling,15/06/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Muda (Kg Kuala Kedua); Sungai Muda (Kg Siput),5.673566,100.9158818,success
27,Kedah,Kuala Muda,6/6/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",-,5.5862766,100.3743503,success
