state,latitude,longitude
Negeri Sembilan,2.8707497,102.2547919
Sarawak,2.5574285,113.0011989
Pulau Pinang,5.4140975,100.3285271
Johor,1.9343998,103.3587288
Perak,4.807294,100.8000051
Sabah,5.4204043,116.7967849
Wilayah Persekutuan,3.1319197,101.6840589
Selangor,3.509247,101.5248055
Melaka,2.189594,102.2500868
Terengganu,5.0936342,102.989615
Pahang,3.9743406,102.4380581
Kelantan,5.115146,101.8891721
Kedah,6.0498656,100.5296115
Perlis,6.5170189,100.2151578
Wilayah Persekutuan Labuan,5.2831456,115.230825
